2025-04-22 00:59:36,711 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3471 bytes
2025-04-22 00:59:37,244 - workload_generator - INFO - Throughput: 917.59 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:37,245 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3555 bytes
2025-04-22 00:59:37,765 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3400 bytes
2025-04-22 00:59:38,308 - workload_generator - INFO - Throughput: 917.86 msgs/sec, 3.06 MB/sec
2025-04-22 00:59:38,309 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3527 bytes
2025-04-22 00:59:38,842 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3561 bytes
2025-04-22 00:59:39,371 - workload_generator - INFO - Throughput: 918.14 msgs/sec, 3.07 MB/sec
2025-04-22 00:59:39,372 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3483 bytes
2025-04-22 00:59:39,900 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3571 bytes
2025-04-22 00:59:40,440 - workload_generator - INFO - Throughput: 918.35 msgs/sec, 3.07 MB/sec
2025-04-22 00:59:40,441 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3571 bytes
2025-04-22 00:59:40,973 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3398 bytes
2025-04-22 00:59:41,520 - workload_generator - INFO - Throughput: 918.45 msgs/sec, 3.07 MB/sec
2025-04-22 00:59:41,521 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3433 bytes
2025-04-22 00:59:42,060 - workload_generator - INFO - Real-time workload: Sent 50 messages, avg payload size: 3366 bytes
2025-04-22 00:59:42,578 - workload_generator - INFO - Throughput: 918.76 msgs/sec, 3.07 MB/sec
